second,Volt
0,0.00431131
4.99999999999945E-05,0.0103392
9.9999999999989E-05,0.00688844
0.000149999999999983,0.01320402
0.000199999999999978,0.0103392
0.000250000000000084,0.0103392
0.000300000000000078,0.0100402
0.000350000000000073,0.01635578
0.000400000000000067,0.0134902
0.000450000000000061,0.01179196
0.000500000000000056,0.01494297
0.00055000000000005,0.00977513
0.000600000000000045,0.00721382
0.000650000000000039,0.0103392
0.000700000000000034,0.01037764
0.000750000000000028,0.01147412
0.000800000000000023,0.01006658
0.000850000000000017,0.00891884
0.000900000000000012,0.01469523
0.000950000000000006,0.00802488
0.001,0.01319271
0.00105,0.0103392
0.00109999999999999,0.01058694
0.00114999999999998,0.00711885
0.00119999999999998,0.01413643
0.00125000000000008,0.01546332
0.00130000000000008,0.01234925
0.00135000000000007,0.01285151
0.00140000000000007,0.01028945
0.00145000000000006,0.00856483
0.00150000000000006,0.00710076
0.00155000000000005,0.00913568
0.00160000000000005,0.00979322
0.00165000000000004,0.0103392
0.00170000000000003,0.01151784
0.00175000000000003,0.01043191
0.00180000000000002,0.0103392
0.00185000000000002,0.01234925
0.00190000000000001,0.01314372
0.00195000000000001,0.01126935
0.002,0.00832915
0.00205,0.01234925
0.00209999999999999,0.01246005
0.00214999999999999,0.0103392
0.00219999999999998,0.01083618
0.00225000000000009,0.0103392
0.00230000000000008,0.01046483
0.00235000000000007,0.00426934
0.00240000000000007,0.01756005
0.00245000000000006,0.0103392
0.00250000000000006,0.01124447
0.00255000000000005,0.01234925
0.00260000000000005,0.01373945
0.00265000000000004,0.00684699
0.00270000000000004,0.01268367
0.00275000000000003,0.00832915
0.00280000000000002,0.0103392
0.00285000000000002,0.01234925
0.00290000000000001,0.01388643
0.00295000000000001,0.01083266
0.003,0.00989473
0.00305,0.0160289
0.00309999999999999,0.01234925
0.00314999999999999,0.01636935
0.00319999999999998,0.0143593
0.00325000000000009,0.0105696
0.00330000000000008,0.01171734
0.00335000000000008,0.0137902
0.00340000000000007,0.0103392
0.00345000000000006,0.01074673
0.00350000000000006,0.01423719
0.00355000000000005,0.0143593
0.00360000000000005,0.01569623
0.00365000000000004,0.00695704
0.00370000000000004,0.0123784
0.00375000000000003,0.00998669
0.00380000000000003,0.01155402
0.00385000000000002,0.01040628
0.00390000000000001,0.01157111
0.00395000000000001,0.00854749
0.004,0.00696307
0.00405,0.00933669
0.00409999999999999,0.01342487
0.00414999999999999,0.00947588
0.00419999999999998,0.01026608
0.00424999999999998,0.01155302
0.00430000000000008,0.01615703
0.00435000000000008,0.00832915
0.00440000000000007,0.01083694
0.00445000000000007,0.01527563
0.00450000000000006,0.0103392
0.00455000000000005,0.01242839
0.00460000000000005,0.01209497
0.00465000000000004,0.00673166
0.00470000000000004,0.01165125
0.00475000000000003,0.00984749
0.00480000000000003,0.0066897
0.00485000000000002,0.01267061
0.00490000000000002,0.01050955
0.00495000000000001,0.01519171
